nome_societa,email,scheda_tc,stato,data_contatto,note,risposta
A Ferraris Villanova 1956,ferrarisvillanova1956@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeEProvincialiRoma/Squadra/AFerrarisVillanova1956/1290710/Scheda ,Inviato,2026-07-21,
Academy Casalotti,academycasalotti@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeCProvincialiFasciaBRoma/Squadra/AcademyCasalotti/1291088/Scheda ,Inviato,2026-07-21,
Academy Cynthia Genzano,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeFProvincialiRoma/Squadra/AcademyCynthiaGenzano/1290713/Scheda ,Da contattare,,
Academy Giovanni Castello,segreteria@gcastellocalcio.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeE/Squadra/AcademyGiovanniCastello/1035364/Scheda ,Inviato,2026-07-20,
Academy Grifone,N/D,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeE/Squadra/AcademyGrifone/1237913/Scheda ,Da contattare,,
Academy Ladispoli,ladsrl@tiscali.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeARegionali/Squadra/AcademyLadispoli/1035364/Scheda ,Inviato,2026-07-20,
Academy Mundial F.C.,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeBProvincialiRoma/Squadra/AcademyMundialFC/1290714/Scheda ,Da contattare,,
Academy Ostiamare,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeAProvincialiRoma/Squadra/AcademyOstiamare/1290676/Scheda ,Da contattare,,
Academy SVS Roma,,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU16/GironeE/Squadra/AcademySVSRoma/1104173/Scheda ,Da contattare,,
Academy TTT Pro,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeHRoma/Squadra/AcademyTTTPro/1247885/Scheda ,Da contattare,,
Accad. Calciatori Lepanto,direzione@accademiacalciatori.club,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeDRegionaliRoma/Squadra/AccadCalciatoriLepanto/1026237/Scheda ,Inviato,2026-07-20,
Accademia Alba Testaccio,,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeE/Squadra/AccademiaAlbaTestaccio/1042236/Scheda ,Da contattare,,
Accademia Atl. Lodigiani,accademiatlodigiani@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiEliteU15/GironeAEccellenza/Squadra/AccademiaAtlLodigiani/1025109/Scheda ,Inviato,2026-07-20,
Accademia Calcio Frascati,accademiacalciofrascati@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeDRegionaliRoma/Squadra/AccademiaCalcioFrascati/1247896/Scheda ,Inviato,2026-07-20,
Accademia Calcio Sabina SL,N/D,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeBRegionali/Squadra/AccademiaCalcioSabinaSL/1126201/Scheda ,Da contattare,,
Accademia Ceccano Calcio 1920,N/D,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeDRegionali/Squadra/AccademiaCeccanoCalcio1920/1245340/Scheda ,Da contattare,,
Accademia Frosinone,N/D,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiEliteU15/GironeBEccellenza/Squadra/AccademiaFrosinone/1059200/Scheda ,Da contattare,,
Accademia Gialloazzurri,accademiagialloazzurri@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeARegionali/Squadra/AccademiaGialloazzurri/1237913/Scheda ,Inviato,2026-07-20,
Accademia R. Tuscolano C.,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU14/GironeE/Squadra/AccademiaRTuscolanoC/1145704/Scheda ,Da contattare,,
Accademia Sansa,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeCProvincialiRoma/Squadra/AccademiaSansa/1290695/Scheda ,Da contattare,,
Accademia Sporting Roma,,https://www.tuttocampo.it/2025-26/Lazio/JunioresRegionaliBU19/GironeBRegionaliB/Squadra/AccademiaSportingRoma/1026010/Scheda ,Da contattare,,
Accademia Torrenova,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeFProvincialiFasciaBRoma/Squadra/AccademiaTorrenova/1291228/Scheda ,Da contattare,,
Achillea 2002,achillea-2002@libero.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeBRegionali/Squadra/Achillea2002/1025026/Scheda ,Inviato,2026-07-20,
Acquacetosa Centro Calcio,ccacquacetosa@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeBRegionali/Squadra/AcquacetosaCentroCalcio/1025899/Scheda ,Inviato,2026-07-20,
ACR Football Club,,https://www.tuttocampo.it/2025-26/Lazio/AllieviProvincialiU16/GironeFRoma/Squadra/ACRFootballClub/1247156/Scheda ,Da contattare,,
Agora Latina Polisportiva,agoralatinassd@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU14/GironeCRegionali/Squadra/AgoraLatinaPolisportiva/1025968/Scheda ,Inviato,2026-07-20,
Akkademy Aprilia,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU14/GironeCRegionali/Squadra/AkkademyAprilia/1244577/Scheda ,Da contattare,,
Alatri,asdalatri@yahoo.com,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeDRegionali/Squadra/Alatri/1243951/Scheda ,Inviato,2026-07-20,
Alba Roma 1907,info@albaroma1907.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeE/Squadra/AlbaRoma1907/1145605/Scheda ,Inviato,2026-07-20,
Albacynthia,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeIRoma/Squadra/Albacynthia/1291352/Scheda ,Da contattare,,
Albalonga,N/D,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeE/Squadra/Albalonga/1020275/Scheda ,Da contattare,,
Allumiere,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeHProvincialiFasciaBRoma/Squadra/Allumiere/1291337/Scheda ,Da contattare,,
Almas Roma,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeHRoma/Squadra/AlmasRoma/1205660/Scheda ,Da contattare,,
Anguillara Calcio,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeHProvincialiFasciaBRoma/Squadra/AnguillaraCalcio/1145685/Scheda ,Da contattare,,
Aniene Calcio,attiliononni@libero.it,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeBRegionali/Squadra/AnieneCalcio/1128805/Scheda ,Inviato,2026-07-20,
Anxur Terracina,,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeCRegionali/Squadra/AnxurTerracina/1244814/Scheda ,Da contattare,,
Anzio Calcio 1924,anziocalcio1924@libero.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeCRegionali/Squadra/AnzioCalcio1924/1024545/Scheda ,Inviato,2026-07-20,
Aquilotti Lazio C5,N/D,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU16/GironeDRegionali/Squadra/AquilottiLazioC5/1203850/Scheda ,Da contattare,,
Aranova,asdaranova@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeARegionali/Squadra/Aranova/1145605/Scheda ,Inviato,2026-07-20,
Arce 1932,usdarce1932@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeDRegionaliRoma/Squadra/Arce1932/1244572/Scheda ,Inviato,2026-07-20,
Ardea College Football Club,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeFProvincialiRoma/Squadra/ArdeaCollegeFootballClub/1247872/Scheda ,Da contattare,,
Ariccia Calcio,,https://www.tuttocampo.it/2025-26/Lazio/JunioresProvincialiU19/GironeBRomaProvinciali/Squadra/AricciaCalcio/1290433/Scheda ,Da contattare,,
Ass Sport Pontedi Nona,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU14/GironeFProvincialiFasciaBRoma/Squadra/AssSportPontediNona/1291229/Scheda ,Da contattare,,
Astrea,asastrea.dap@giustizia.it,https://www.tuttocampo.it/2025-26/Lazio/AllieviRegionaliU17/GironeARegionali/Squadra/Astrea/1035855/Scheda ,Inviato,2026-07-20,
Athletic Soccer Academy,asd.asasoccer@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/JunioresEliteU19/GironeA/Squadra/AthleticSoccerAcademy/1027438/Scheda ,Inviato,2026-07-20,
Atl. Roma Nord Lodigiani,info@atlromanordlodigiani.it,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiRegionaliU15/GironeDRegionaliRoma/Squadra/AtlRomaNordLodigiani/1237973/Scheda ,Inviato,2026-07-20,
Atletica Roma 6,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeHRoma/Squadra/AtleticaRoma6/1247888/Scheda ,Da contattare,,
Atletico,,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiProvincialiU15/GironeHRoma/Squadra/Atletico/1290699/Scheda ,Da contattare,,
Atletico 2000,agonisticaatletico2000@gmail.com,https://www.tuttocampo.it/2025-26/Lazio/GiovanissimiEliteU15/GironeBEccellenza/Squadra/Atletico2000/1080535/Scheda ,Inviato,2026-07-20,
Atletico Castel Porziano,,https://www.tuttocampo.it/2025-26/Lazio/JunioresProvincialiU19/GironeARomaProvinciali/Squadra/AtleticoCastelPorziano/1290429/Scheda ,Da contattare,,
